Distancia_Bala,Velocidad_Bala,Distancia_Bala2,Salto,Izquierda
1089,-24,515,0,0
1055,-24,497,0,0
1021,-24,479,0,0
992,-24,461,0,0
968,-24,443,0,0
944,-24,425,0,0
920,-24,407,0,0
896,-24,389,0,0
872,-24,371,0,0
848,-24,353,0,0
824,-24,335,0,0
800,-24,317,0,0
776,-24,299,0,0
752,-24,281,0,0
728,-24,263,0,0
704,-24,245,0,0
680,-24,227,0,0
656,-24,209,0,0
632,-24,191,0,0
608,-24,173,0,0
594,-24,155,0,1
580,-24,137,0,1
566,-24,119,0,1
552,-24,101,0,1
538,-24,83,0,1
524,-24,65,0,1
510,-24,47,0,1
496,-24,29,0,1
482,-24,11,0,1
468,-24,7,0,1
454,-24,25,0,1
440,-24,43,0,1
406,-24,61,0,1
372,-24,79,0,1
338,-24,97,0,1
304,-24,115,0,1
270,-24,605,0,0
236,-24,587,0,0
202,-24,569,0,0
173,-24,531,1,0
144,-24,496,1,0
115,-24,463,1,0
86,-24,433,1,0
57,-24,405,1,0
28,-24,380,1,1
1,-24,357,1,1
30,-24,337,1,1
59,-24,319,1,1
88,-24,304,1,0
1280,-24,291,0,0
1260,-20,281,0,0
1240,-20,273,0,0
1220,-20,268,0,0
1200,-20,265,0,0
1180,-20,265,0,0
1160,-20,263,0,0
1140,-20,245,0,0
1120,-20,227,0,0
1100,-20,209,0,0
1090,-20,191,0,1
1080,-20,173,0,1
1070,-20,155,0,1
1060,-20,137,0,1
1050,-20,119,0,1
1040,-20,101,0,1
1030,-20,83,0,1
1020,-20,65,0,1
1010,-20,47,0,1
1000,-20,29,0,1
990,-20,11,0,1
980,-20,7,0,1
950,-20,25,0,1
920,-20,43,0,1
890,-20,61,0,1
860,-20,79,0,1
830,-20,97,0,1
800,-20,115,0,1
770,-20,605,0,0
740,-20,587,0,0
710,-20,569,0,0
680,-20,551,0,0
650,-20,533,0,0
620,-20,515,0,0
600,-20,497,0,0
580,-20,479,0,0
560,-20,461,0,0
540,-20,443,0,0
520,-20,425,0,0
500,-20,407,0,0
480,-20,389,0,0
460,-20,371,0,0
440,-20,353,0,0
420,-20,335,0,0
400,-20,317,0,0
380,-20,299,0,0
360,-20,281,0,0
340,-20,263,0,0
320,-20,245,0,0
300,-20,227,0,0
290,-20,209,0,1
280,-20,191,0,1
270,-20,173,0,1
260,-20,155,0,1
250,-20,137,0,1
240,-20,119,0,1
230,-20,101,0,1
220,-20,83,0,1
210,-20,65,0,1
200,-20,27,1,1
190,-20,8,1,1
180,-20,41,1,1
155,-20,71,1,1
130,-20,99,1,1
105,-20,124,1,1
80,-20,147,1,1
55,-20,167,1,1
30,-20,185,1,1
5,-20,200,1,1
1360,-20,525,0,0
1334,-21,515,0,0
1308,-21,507,0,0
1282,-21,502,0,0
1256,-21,499,0,0
1230,-21,499,0,0
1199,-21,497,0,0
1168,-21,479,0,0
1137,-21,461,0,0
1106,-21,443,0,0
1075,-21,425,0,0
1049,-21,407,0,0
1028,-21,389,0,0
1007,-21,371,0,0
986,-21,353,0,0
965,-21,335,0,0
944,-21,317,0,0
923,-21,299,0,0
902,-21,281,0,0
881,-21,263,0,0
860,-21,245,0,0
839,-21,227,0,0
818,-21,209,0,0
797,-21,191,0,0
776,-21,173,0,0
765,-21,155,0,1
754,-21,137,0,1
743,-21,119,0,1
732,-21,101,0,1
721,-21,83,0,1
710,-21,65,0,1
699,-21,47,0,1
688,-21,29,0,1
677,-21,11,0,1
666,-21,7,0,1
655,-21,25,0,1
644,-21,43,0,1
613,-21,61,0,1
582,-21,79,0,1
551,-21,97,0,1
520,-21,115,0,1
489,-21,605,0,0
458,-21,587,0,0
427,-21,569,0,0
